ID,Artist,Album,Type,Option,Format,Image #,Total CDs,Date rec'd,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28,Track 29,Track 30,Track 31,Track 32,Track 33,Track 34,Track 35,Track 36,Track 37,Track 38,Track 39,Track 40,Track 41,Track 42,Track 43,Track 44,Track 45,Track 46,Track 47
01234-00001,artist1,album1,LP,std,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01234-00002,artist2,album2,cass,del,mp3,,2,,,,Track 1,Track 2,Track 3,Track 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01235-00001,artist1,album3,45,,CD,,,,I really like this 45,"Not enough, you don't",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01951-00001,Con Hunley,Ask Any Woman,LP,del,CD,,,12/16/2014,,,He Will Break Your Heart,Don't It Break Your Heart,When It's Over,I'm Back To Putting Up a Front Again,Table For One,Ask Any Woman,Would You Let A Fool Come In,She's Steppin' Out,No Relief In Sight,Tryin' To Love Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01951-00002,Con Hunley,Don't It Break Your Heart,LP,del,CD,,,12/16/2014,,,It Wasn't Me,What's New With You,They Never Lost You,Someone I Used To Love,I Wanta Wake Up With You,Foolish Feelings,I'm Losing My Life,Too Big For Words,This Ol' Cowboy's Going Home,Don't It Break Your Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01951-00003,Con Hunley,Con Hunley,LP,del,CD,,,12/16/2014,,,I've Been Waiting For You All Of My Life,Since I Fell for You,You've Still Got a Place In My Heart,Week-End Friend,Livin' On The Funky Side,That's All That Matters,Let's Try Again,Honky Tonk Heart,I'll Be Blue,Only the Strong Survive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01951-00004,Con Hunley,Oh Girl,LP,del,CD,,,12/16/2014,,,Just Like Old Times,Oh Girl,My Heart Will Know,Confidential,"Stop, You're Killing Me",Ain't No Woman (Like The One I've Got),Tonight I Took Your Memory Off The Wall,It Used To Be Me,She Never Laid Love On Me,I Still Have Dreamin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01951-00005,Con Hunley,I Don't Want To Lose You,LP,del,CD,,,12/16/2014,,,You Lay A Whole Lot of Love On Me,Fire In The Morning,The Loneliness In Me,Straight To My Heart,I Don't Want To Lose You,Lover's Lullaby,Rhythm And Blues,When It Hurts You Most,Lady Got Soul,Take It Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01894-00001,Bob Ayala,Joy by Surprise,LP,del,CD,,,12/16/2014,,,"Stephanie, With Love",Do You Know Him?,Try and Keep the Pace,To the Ancient of Days,Peace,Silent Witness,Joy By Surprise,The Song of Joseph,Lord!,New Beginnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01892-00001,Members of the Richard Hickox Singers and Orchestra,"English Medieval Carols and Christmas Music, Vol. I “Be Merry”",LP,del,CD,,,12/16/2014,,,"Nowell, nowell: The boares head",Ave Maria,Ave regina celorum (motet),Ave regina celorum (organ),Ah my dear,There is no rose,"Be merry, be merry",Ave regina celorum (plainsong),Ave regina celorum (motet),Ave domina,Instrumental consorts (Henry VIII & Cornish),"Goday, my lord","Marvel not, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
